,t,frame,x,y,tramo,sujeto
0,500.0,15,45,141,1,1
1,1266.6666666666663,38,154,155,1,1
2,1933.3333333333333,58,261,141,1,1
3,2533.333333333333,76,383,153,1,1
4,3100.0,93,503,142,1,1
5,3633.3333333333335,109,593,154,1,1
6,12266.666666666666,368,54,158,2,1
7,13033.333333333334,391,135,144,2,1
8,13700.0,411,261,158,2,1
9,14299.999999999998,429,365,149,2,1
10,14866.666666666668,446,463,160,2,1
11,15433.333333333334,463,551,146,2,1
12,16000.0,480,613,161,2,1
13,99.96334677284996,3,97,136,1,2
14,866.3490053646995,26,198,131,1,2
15,1499.4502015927492,45,315,140,1,2
16,2065.9091666388986,62,427,142,1,2
17,2665.6892472759982,80,543,150,1,2
18,3265.4693279130984,98,657,146,1,2
19,14594.648628836092,438,68,138,2,2
20,15227.749825064142,457,189,134,2,2
21,15894.17213688314,477,317,144,2,2
22,16493.952217520244,495,443,145,2,2
23,17060.41118256639,512,558,157,2,2
24,17660.19126320349,530,654,154,2,2
25,99.96334677284996,3,97,136,1,3
26,866.3490053646995,26,198,131,1,3
27,1499.4502015927492,45,315,140,1,3
28,2065.9091666388986,62,427,142,1,3
29,2665.6892472759982,80,543,150,1,3
30,3265.4693279130984,98,657,146,1,3
31,14594.648628836092,438,68,138,2,3
32,15227.749825064142,457,189,134,2,3
33,15894.17213688314,477,317,144,2,3
34,16493.952217520244,495,443,145,2,3
35,17060.41118256639,512,558,157,2,3
36,17660.19126320349,530,654,154,2,3
37,0.0,0,66,137,1,4
38,766.3856585918496,23,167,127,1,4
39,1432.807970410849,43,291,139,1,4
40,2065.9091666388986,62,406,142,1,4
41,2665.6892472759982,80,520,146,1,4
42,3298.790443504048,99,617,146,1,4
43,14594.648628836092,438,30,120,2,4
44,15361.03428742794,461,137,135,2,4
45,16094.09883042884,483,235,130,2,4
46,16727.20002665689,502,345,146,2,4
47,17393.62233847589,522,435,141,2,4
48,18226.65022824964,547,515,153,2,4
49,19059.67811802339,572,579,147,2,4
50,19926.02712338809,598,640,154,2,4
51,433.1745026823497,13,64,174,1,5
52,1066.2756989103991,32,143,168,1,5
53,1766.0191263203492,53,254,178,1,5
54,2399.1203225483987,72,358,178,1,5
55,3065.5426343673985,92,466,185,1,5
56,3665.322715004498,110,566,186,1,5
57,4265.102795641597,128,629,189,1,5
58,18626.50361534104,559,67,169,2,5
59,19292.92592716004,579,164,168,2,5
60,19992.66935456999,600,279,185,2,5
61,20659.091666388988,620,377,189,2,5
62,21292.19286261704,639,474,195,2,5
63,21958.61517443604,659,560,201,2,5
64,22591.71637066409,678,617,211,2,5
65,0.0,0,9,170,1,6
66,533.3333333333334,16,124,179,1,6
67,1200.0,36,230,172,1,6
68,1833.3333333333333,55,349,178,1,6
69,2433.333333333333,73,465,167,1,6
70,3100.0,93,575,177,1,6
71,18533.33333333333,556,43,186,2,6
72,19133.33333333333,574,112,171,2,6
73,19833.33333333333,595,223,180,2,6
74,20500.0,615,321,171,2,6
75,21133.33333333333,634,424,173,2,6
76,21766.666666666664,653,532,150,2,6
77,22433.33333333333,673,626,168,2,6
78,960.0,24,53,156,1,7
79,1680.0,42,125,147,1,7
80,2440.0,61,231,159,1,7
81,3120.0,78,329,158,1,7
82,3800.000000000001,95,435,173,1,7
83,4480.0,112,535,167,1,7
84,5200.0,130,594,177,1,7
85,21560.0,539,22,153,2,7
86,22120.0,553,92,146,2,7
87,22840.0,571,201,158,2,7
88,23480.0,587,284,146,2,7
89,24200.0,605,372,164,2,7
90,24840.0,621,446,153,2,7
91,25480.0,637,502,170,2,7
92,26440.0,661,575,160,2,7
93,27120.0,678,587,174,2,7
94,28160.0,704,617,164,2,7
95,1240.0,31,64,151,1,8
96,2000.0,50,143,144,1,8
97,2720.0,68,244,159,1,8
98,3400.0,85,341,156,1,8
99,4200.0,105,433,167,1,8
